Customer_ID,Age,Gender,Region,Income_Level,Membership_Since,Preferred_Channel
CUST0001,24,Female,North America,Medium,2019-01-24,Online
CUST0002,32,Other,Middle East,High,2017-07-12,Online
CUST0003,21,Other,Asia-Pacific,High,2023-05-25,Online
CUST0004,51,Female,South America,Premium,2015-11-01,Online
CUST0005,25,Male,Asia-Pacific,High,2018-01-28,Online
CUST0006,62,Male,Middle East,Medium,2015-08-29,Online
CUST0007,23,Male,North America,Medium,2021-01-25,Online
CUST0008,49,Male,South America,Medium,2023-01-22,Online
CUST0009,24,Other,Middle East,Medium,2018-05-14,Online
CUST0010,29,Other,Middle East,Premium,2024-12-27,Online
CUST0011,34,Female,South America,High,2020-10-11,Store
CUST0012,63,Female,North America,Low,2023-05-27,Online
CUST0013,55,Male,Middle East,Medium,2019-04-15,Store
CUST0014,57,Other,Middle East,Low,2024-08-26,Store
CUST0015,41,Other,North America,High,2022-02-06,Store
CUST0016,57,Male,Asia-Pacific,High,2019-09-10,Online
CUST0017,35,Male,South America,Low,2018-02-06,Store
CUST0018,45,Male,Asia-Pacific,Low,2023-06-03,Online
CUST0019,62,Other,North America,Premium,2018-01-25,Online
CUST0020,36,Other,South America,Premium,2017-05-16,Online
CUST0021,29,Male,North America,Medium,2022-05-27,Store
CUST0022,55,Other,South America,Premium,2016-02-16,Store
CUST0023,48,Other,Europe,Premium,2017-04-04,Online
CUST0024,54,Male,South America,Low,2019-10-17,Online
CUST0025,42,Other,Asia-Pacific,Premium,2018-08-23,Store
CUST0026,25,Male,Europe,Low,2020-02-24,Store
CUST0027,38,Other,Europe,Low,2021-07-23,Store
CUST0028,65,Male,Middle East,Low,2019-10-05,Store
CUST0029,25,Female,South America,High,2024-05-05,Online
CUST0030,49,Male,Europe,High,2022-12-05,Online
CUST0031,22,Male,Middle East,High,2021-09-06,Online
CUST0032,61,Male,South America,Low,2018-08-23,Store
CUST0033,28,Other,Europe,Premium,2022-04-23,Online
CUST0034,62,Other,North America,High,2021-05-22,Online
CUST0035,56,Female,Asia-Pacific,Low,2017-01-09,Store
CUST0036,41,Male,Middle East,Low,2016-08-26,Store
CUST0037,48,Other,Middle East,Medium,2016-12-18,Store
CUST0038,49,Male,Asia-Pacific,Medium,2015-11-21,Store
CUST0039,27,Female,South America,Premium,2025-04-06,Online
CUST0040,54,Female,Europe,High,2020-09-30,Store
CUST0041,51,Other,Europe,Medium,2018-05-03,Online
